Macrotrends Data Download

Gold Price - Last 10 Years

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
2013-03-20,1611.5000
2013-03-21,1608.7500
2013-03-22,1611.5000
2013-03-25,1602.2500
2013-03-26,1597.2500
2013-03-27,1591.0000
2013-03-28,1602.5000
2013-04-02,1597.7500
2013-04-03,1568.5000
2013-04-04,1545.2500
2013-04-05,1552.7500
2013-04-08,1577.2500
2013-04-09,1572.5000
2013-04-10,1581.5000
2013-04-11,1555.7500
2013-04-12,1548.0000
2013-04-15,1416.0000
2013-04-16,1378.0000
2013-04-17,1379.0000
2013-04-18,1397.0000
2013-04-19,1414.0000
2013-04-22,1425.0000
2013-04-23,1417.2500
2013-04-24,1424.5000
2013-04-25,1446.5000
2013-04-26,1462.2500
2013-04-29,1472.5000
2013-04-30,1472.7500
2013-05-01,1469.5000
2013-05-02,1456.0000
2013-05-03,1476.5000
2013-05-07,1463.0000
2013-05-08,1454.0000
2013-05-09,1469.5000
2013-05-10,1449.2500
2013-05-13,1429.7500
2013-05-14,1436.5000
2013-05-15,1412.2500
2013-05-16,1377.0000
2013-05-17,1376.7500
2013-05-20,1353.7500
2013-05-21,1378.7500
2013-05-22,1385.2500
2013-05-23,1386.0000
2013-05-24,1385.2500
2013-05-28,1379.0000
2013-05-29,1384.5000
2013-05-30,1406.2500
2013-05-31,1410.2500
2013-06-03,1396.7500
2013-06-04,1405.2500
2013-06-05,1396.5000
2013-06-06,1399.5000
2013-06-07,1410.0000
2013-06-10,1376.7500
2013-06-11,1369.5000
2013-06-12,1377.2500
2013-06-13,1386.2500
2013-06-14,1379.7500
2013-06-17,1386.0000
2013-06-18,1378.5000
2013-06-19,1366.0000
2013-06-20,1303.2500
2013-06-21,1290.2500
2013-06-24,1283.2500
2013-06-25,1285.0000
2013-06-26,1229.0000
2013-06-27,1232.0000
2013-06-28,1203.2500
2013-07-01,1243.5000
2013-07-02,1260.7500
2013-07-03,1246.0000
2013-07-04,1249.5000
2013-07-05,1232.7500
2013-07-08,1225.5000
2013-07-09,1252.0000
2013-07-10,1252.2500
2013-07-11,1280.7500
2013-07-12,1275.0000
2013-07-15,1281.2500
2013-07-16,1286.0000
2013-07-17,1284.2500
2013-07-18,1279.7500
2013-07-19,1286.0000
2013-07-22,1313.7500
2013-07-23,1326.7500
2013-07-24,1340.0000
2013-07-25,1312.0000
2013-07-26,1327.7500
2013-07-29,1330.7500
2013-07-30,1322.2500
2013-07-31,1331.5000
2013-08-01,1323.7500
2013-08-02,1285.7500
2013-08-05,1311.0000
2013-08-06,1292.0000
2013-08-07,1275.5000
2013-08-08,1287.7500
2013-08-09,1305.5000
2013-08-12,1325.7500
2013-08-13,1334.0000
2013-08-14,1323.2500
2013-08-15,1339.5000
2013-08-16,1360.7500
2013-08-19,1375.2500
2013-08-20,1365.7500
2013-08-21,1360.0000
2013-08-22,1370.5000
2013-08-23,1374.5000
2013-08-27,1411.0000
2013-08-28,1425.5000
2013-08-29,1406.2500
2013-08-30,1392.7500
2013-09-02,1391.2500
2013-09-03,1391.2500
2013-09-04,1403.7500
2013-09-05,1391.7500
2013-09-06,1368.2500
2013-09-09,1386.0000
2013-09-10,1373.0000
2013-09-11,1365.2500
2013-09-12,1340.2500
2013-09-13,1308.2500
2013-09-16,1314.7500
2013-09-17,1317.2500
2013-09-18,1299.7500
2013-09-19,1363.5000
2013-09-20,1355.2500
2013-09-23,1321.7500
2013-09-24,1316.5000
2013-09-25,1320.2500
2013-09-26,1332.5000
